IntendedSize,45
Column&Row,40,40
WALL-1,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,DOOR,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-2,WALL-3,WALL-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
PG-1,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-2,PG-3,PG-4
